sentence	label
[USERNAME] Dan kadang Tuhan tuh bukan minta kita untuk menjadikan sebuah rencana itu berhasil. Tuhan cuma minta kita untuk mengusahakan keberhasilan. Once udah mengusahakan, udah accomplished tugas kita. Hehe. Semangattt mia! Abis lebaran jg ga buruk kok	0
Menurut Cak Nun, orang yang tak percaya akhirat, logisnya tak percaya Allah. Secara syari', dia kafir. Tapi Cak Nun tak mau bilang Mega kafir tapi dia orang yang tak paham.	2
Ini komprenya perkelompok satu jam kah? Asaan yang kelompok minggu kemarin maju katanya cuma sebentar gasampe setengah jam Lah ini uda mau satu jam Bikin degdegan woii:(((	2
"dan satu si yang pentiiiing banget. bukan gue sok beragama baik ya, tapi kalo modal bisnis udah dari ""riba"" mening jangan coba2. yakin dan pasti bakal abis bis tak bersisa. gue udah ngalamin sendiri. bener2 plek Allah kasih bukti sesuai firman dan sunnah Rasul."	2
seru bgt jadi manusia.. bnyk berhubungan sm manusia yg lain. seru sih seruuu tapi kadang2 ngebingungin jg.. atau jd gaenak.. atau malah atau atau. ya tapi mo gimana.. kelebihan ngontrol ga baik.. lepas tangan ga bener.. sembunyi apalagi. yaudahh dijalanin one step at a time aja.	2
ehhh lg dengerin lagu playlistnua di shuffle pertama kangen-dewa19 trs kamu-coboyjr, kahitna-mantan terindah jadinya, kangen kamu mantan terindah hiyak.	3
Baca thread fangirl mahasiswa anti kupu2 tuh rasanya..... ah sudahlah, w udah bukan mahasiswa lagi :) .. gila emang, melawan diri sendiri itu buat gw susah bgt	3
Gue sama sekali gak tau awalnya kayak gimana. Yang jelas saat itu,makin lama gue makin sayang sama lu. Gue bilang,gue sayang lu itu sebagai temen deket. But,setelah dipikir pikir lagi,gue tuh sayang sama lu more than a friend.	4
btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]	0
Akhir akhir ini banyak ketemu orang orang baik. Padahal umur mereka masih muda tapi masyaAllah ibadahnya luar biasa. Aku waktu ukur segitu ngapain aja? Sibuk sama oppa korea	0
Oma: Dokter Dika tolong pasangin gocar buat saya pulang ya *Downloadin aplikasi gojek, sampe oma dapet gocar dan pulang selamat sampai tujuan happily ever after*	0
:/-1 Dibuat bundling. Dan semuanya ditawarkan saat weekdays. Momentum di mana harga-harga hotel di Singapura bertarif sangat tinggi. #VIWIHotDealsForMiddleEast	3
Kenyataan PANCASILA mau diganti khilafah kan?	1
Aku habis nonton #AQuietPlace dan seru. Heningnya bikin ketegangan meningkat. Bahkan di beberapa momen aku sampe tutup mulut dan gak bersuara. Endingnya Bodoamat yaa udah pada ke #Hereditary gw masih di sini wk. Oya, saran nih mbake, bikin rumah deket aer teejun wae lah	0
Hadeee ngomongin sesat pikir. Keknya mbak ini ga sadar pemikirannya soal verbal harrasment sbnrnya kecermin dari twit2 dia selama ini. emg anaknya suka digodain pake tytyd. gimana dong kalo VV dan mayoritas cewe ga satu selera sama lo? Harus terima digituin? Harus diem? :( [URL]	1
Siapakah yang mencintaiku dan akan mencintaiku selamanya dengan cinta yang tak mungkin lenyap oleh kesulitan, penderitaan dan kejahatan yang kuperbuat? Orang itu adalah kau, Ibuku. (Anonim)	4
Ketemu narasumber nyebeli.. banyak.. kalo bisa tak blokir satu aatu narasumber yg maksa minta diliput ato udh diliput tp minta cepet2 ditayangin. Kita kan ada jadwal nya mas dan mbak..	1
Beli tong sampah made in jerman biar bisa setara sama negara2 eropa.apa hubungannya?toh itu cuma sekedar tong,sekedar wadah,gak mungkin bisa nyetarain bangsa ato masyarakat lewat tong sampah macem gitu.	1
Lucu aja gitu, ngebayangin. Dulunya tiap hari di kota itu, engga kepikir bakal pergi dr sana, terus nantinya kalo aku ke kota itu jatuhnya jadi berkunjung. Aneh. Aneh aja.. sebenernya aku pengen nangis. Mau bilang ikutttt sm org org yang mau ke sana. Aku kangen	3
netijen yang merasa bahwa dirinya maha benar ditambah dengan lingkungan sosial di negara ini membuat melawan sexual harassment menjadi sangat sulit. they normalize that. time to speak up! jangan mau diam saja jadi korban	1
hallo [USERNAME] sampai hari ini indohome msh belum bisa dipakai, apakah masih serius bisnis telekomunikasi, atau memang asal2an yang penting uang masuk. ini sdh 2 minggu gak nyala sama sekali. maunya gimana???	1
Masuk dibulan pertama mensive gua sama dia ttp msh baik2 aja, gaada masalah sedikit pun, selain baik, ramah, perhatian, dia juga orang yg pengertian bat gak banyak nuntut ini itu ke gua. Itu yg bikin gua sayang bat sama dia	4
Apakah ini berarti takfiri? Ya Allah, cukuplah Engkau sebagai Rabb kami, Tempat bersandar dan meminta pertolongan. Kami berlepas diri dari orang-orang yang mempersekutukanMu dengan apapun. [URL]	2
Cab. olahraga baru di [USERNAME] , Pencak Silat akan jd salah 1 cabang andalan utama kita utk meraup bbrp medali. Selalu happy olahraga beladiri. Beberapa thn belakangan mulai belajar Silat dikit2. Sblmnya sejak usia 5 thn tekuni Karate & Taekwondo	0
!rp hai ele. Maaf ya gua ga romantis. Gua cuma mau ungkapin perasaan gua. Kalo gua itu tertarik sama lu, gua sayang sama lu, gua Cinta sama lu. Gua mau serius dengan perasaan gua. Dah gausah panjang. Ele will you be mine [USERNAME] [URL]	4
Semoga roboh dan menimpa mereka. Baru kemudian akan ada himbauan keras untuk tidak naik-naik sembarangan ke atas situs sejarah. Sadis? Terpaksa. Pekok berjamaah. Garansi seumur hidup. [URL]	1
Celakanya kamar hotel dan tiket yang tak terjual tersebut mengandung fixed cost yang relatif sama. Untuk airlines, pesawat akan menghabiskan bahan bakar yang hampir sama baik kursi di pesawat tersebut kosong/ diisi penumpang. #VIWIHotDealsForMiddleEast	2
[USERNAME] Bukaaan, tapi aku punya kayak semacam trust issue gitu.. takut diomongin sama temen deket, takut kalo ngomong A nanti malah salah, dan aku bukan tipe orang yg gampang ceritain semua masalahku ke orang lain alias susah terbuka	2
ibarat saya datang baik dengan buku dan pulpen, saya keluar hanya membawa buku itu saja. lantas pulpen itu saya tinggalkan dengan dirinya untuk dijadikan alat tulis baru dirinya dengan yang akan datang untuk bertamu di hari nanti.	4
Lee daehwi ku sayang, sabar ya. Terlalu banyak yg ngehujat km bukan brrti gk ada yg support km. Aku, dan teman wannable asli yg lain akan selalu mendukungmu adik manis.	4
Gue masih bisa sayang sama lo dengan layak tanpa lo harus tau apapun tentang gue. Kenapa gue harus merepotkan diri kayak gini? Padahal ikut campur itu gak ada dalam skill yang diperlukan	4
"Sebenernya ga ada yang salah, yang salah cuma ""moodku"" lagi ga bagus, jadi semuanya terlihat ga bener. Dari dulu, selalu aja moodku yg suka berubah-ubah ini yang jadi masalah :("	3
Dua teman sudah menikah, dari dua temen tersebut mereka pindah agama semua. Satu muslim ke Kristen dan Hindu ke muslim. Semoga saya di beri jodoh yang seiman dan sejalan.	2
Intinya sih.. Kamu jadi siapapun, aku tetep sayang kamu. Kita udh 6 tahun bersama (?) meskipun harus ngitung dari awal lagi smpe akhirnya skrg udh 3 bulanan wkwk.	4
"halohaa selamat siang Denise Udah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana udah sehatan kan kamu ? Kalo emang masih kurang sehat ya banyakin istirahat aja sekarang"" Kk selalu nunggu kok tweet"" dari k"	4
{MU} guys aku mau ngecat rambut, tp sebelumnya aku blm pernah ngecat rambut, mau minta saran warnanya apa ya? Tp jangan yg heboh2 aku takut kaget	2
Agak telat ramai nya ya dok... Alhamdulillah sudah paham sejak lama banget jadi geli aja baru pada ramai sekarang hehehe... [URL]	0
[USERNAME] [USERNAME] Iyaa kii tau aja luu, emak gua ngidam d kawinin ama pmarahan charles, tapi udh keduluan d kawinin ama bapak gua :(	3
kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months	4
ngakak bgt yaallah next time kita adain MnG part 2 ya wkwkwk engga ih ga buluk tetep cantik koo yuhuu luvsss	0
Kalau sampe [USERNAME] di WO, sama juga kita di hianati, di kasih hati minta jantung udah di kasih kuota tiket malah rusuh tak terorganisir dan minta WO lagi,kelakuan nya udh kaya saudaranya biru barat.	1
Tooosssssssss Bangetttt huhu aku kenal suara dia pertama kali pas ostnya man from the star dan itu sumpah aku lgsg jatuh cinta	4
itu kenapa gue lebih sayang internet friends. mereka yang lebih peduli, bahkan mereka yang selalu cheer up pas gue down. ketikan mereka yang bikin mood gue bangkit. mereka yang bisa bikin gue ketawa cuma lewat layar hp. i don't deserve them but i cinta them sm.	4
Namun meski berat, masih lebih baik dari pada tidak mengikhlaskan yang akhirnya meninggalkan rasa sesak. Kejadian yg masih membekas sampai sekarang adalah sewaktu tim kami kalah dalam putaran final LCC 4 Pilar MPR tahun 2012 di Jakarta.	3
Daritadi notifikasi twitter saya tidak berhenti berbunyi, padahal saya mau tidur, saya cek dan ternyata semua notifikasi dari BMKG yang mengabarkan gempa-gempa susulan yang terjadi di Lombok. Saya benar-benar sedih dan saya berdoa semoga kita mendapat perlindungan Tuhan. Amin.	3
Tidak sepakat, dan anda [USERNAME] sudah menyesatkan orang lain. Dilarang sholat di dalam bangunan yang didirikan untuk kekafiran (salah satunya gereja). Makanya jangan kebanyakan nonton mak lampir. Aku berlindung kepada ALLAAH SWT.	1
dilema banget anjir mau kentut tp takut yg keluar gakcuma gas, mau boker tp gak mules	2
Selamat peletakan batu pertama pmbangunan Univ Islam Internasional Indonesia (UIII). Smoga Islam Indonesia yg damai dan toleran benar2 mnjadi rujukan Islam dunia kelak. Cc Pak Menag [USERNAME] [URL]	0
Last time aku tengok maya karin kat pontianak pon dh buat aku takut makan kat meja makan sbb ada hantu bawah tu.... Now munafik 2? [URL]	2
Dulu WA isinya kalimat manis peredam penat, penyembul semangat, mood booster Sekarang gombalannya hilang diganti omelan versi digital bos yang suka pedes dan bikin trauma buka WA	3
[USERNAME] Waktu sd ba'da isya, pulang ngaji berlima sama temen-temen, dipertigaan tiba-tiba ada ibu-ibu pake baju putih panjang, mukanya ketutupan rambut panjang dan lagi gendong bayi. Mau disamperin, pas udah setengah jalan kita balik lagi karena takut ag	2
[USERNAME] Sy sudah menghubungi halo bca 1500888 dan tekan 1, 1, dan 0. Saya sdh melakukan itu sampai 10X sampai pulsa sy habis. Dan jawaban nya selalu maaf operator kami sedang sibuk. Gimana mau cek status sy	1
Demikian juga lidah, walaupun suatu anggota kecil dari tubuh, namun dapat memegahkan perkara-perkara yang besar. Lihatlah, betapapun kecilnya api, ia dapat membakar hutan yang besar.	2
Terimakasih telah menuangkanya dalam cerita dn kemudian di posting dlm sebuah blog. Setidaknya semakin tau pasti bagaimana perjalanan kalian.	0
Terus.. Baca komen2nya pada bilang kalo musik itu haram. Dan bla bla. Nah disini aku tau. Kalo fanatik kan emang gaboleh. Tp kalau sekedar suka gitu gimana?	2
[USERNAME] Kami muak atas ketidak pastian hukum di rezim ini, hukum itu memberikan keadilaan serta kepastian bukan ketidakpastian!	1
[USERNAME] [USERNAME] malam ini kok sinyal koneksi internya jelek sekali ya? Notif si mifi berwarna merah terus??? Adapakah? #nanyaserius #maukerja	1
Sama kayak hobi. Kalau orang udah suka sama satu hal, disuruh jalanin hal lain pun gak bakal bisa. Jatuhnya kayak bodoh gabisa ngapa2in. Padahal itu bukan bidangnya, yg berakhir dinyinyirin sama orang.	3
Saya taKan raguKan besarNya kasih sayang Tuhan yg telah diberiKanNya kepada saya,walau momen sulit yg harus saya hadapi dalam hidup ini. Karna saat cahaya dalam hati kita mulai redup,hanya kasih Sayang dari mereka yg mencintai kita, yg mampu menjadi lentera tuk menerangiNya kembali	4
Hm. Kadang kalau analisis takut kebablasan halu karena aku lelah menduga duga soal soonhoon padahal mah aslinya bisa aja hanya imajinasiku	2
"Bagaimana mungkin sebuah pondok pesantren dapat hidup dengan aman dan nyaman di tengah masyarakat yang mayoritas penduduknya penganut agama Hindu? Ini semua telah mendorong sinergi alami antara agama, toleransi, dan demokrasi di Indonesia,"" kata dia. #Jokowi2Periode"	0
Gak jadi include kemang karna yg dp gak jelas php doang,tp besok fix include blokm masih ada 2slot kosong [USERNAME] [USERNAME] [USERNAME] [USERNAME]	3
Yuuuk kita siap2 untuk berihtikaf di malam sepertiga terakhir,mudah2an kita mndpt malam 1000 bulan ,karena thn depan blm tentu ketemu lagi dg bulan yg penuh MAGHFIROH [URL]	0
Selalu ku syukuri sampai detik ini, dengan segala apa yang telah kita lewati bersama, ada pait, manis, asamnya cerita, memang awal 2018, adalah step terbaik di hidupku, semoga, selalu dan selamanya. AMIN	0
kurang pengertian bisa mencintai bisa juga membenci namun tidak-pernah mau mengenal	3
gregetan kalau nonton tv beritanya korupsi mele _	1
baru kali ini ke [USERNAME] Gancit dan kecewa berat. Baristanya bikin minum dan rasanya berantakan. ditanya baik2 malah melengos ga jelas bikin emosi. please yg kamu jual jasa, kita ga minta dihormati tp berusahalah utk menghargai org lain.	1
